process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name
28.0,20.0,21.0,,8.0,11.1,5.0,4.25,2048.0,1076.0,4.0,34.45,525.0,375.0,4096.0,6144.0,512.0,,Windows XP 32-bit,Windows 7 64-bit,10.0,10.0,3072.0,3072.0,2013-12-13,7 Days To Die
60.0,32.0,15.5,14.0,4.0,10.05,4.05,2.6500000000000004,512.0,450.0,3.0,21.6,,200.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,8192.0,8192.0,2012-02-20,7554
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2007-02-22,8 Kingdoms
40.0,40.0,33.0,28.0,23.5,11.0,5.0,4.1,1024.0,1012.5,5.0,113.2,,450.0,4096.0,6144.0,,,Windows Vista 32-bit,Windows 7 64-bit,11.0,11.0,2048.0,2048.0,2016-08-12,8-Bit Hordes
40.0,40.0,33.0,28.0,23.5,11.0,5.0,4.1,1024.0,1012.5,5.0,113.2,,450.0,4096.0,6144.0,,,Windows Vista 64-bit,Windows 7 64-bit,11.0,11.0,2048.0,2048.0,2016-04-22,8-bit Armies
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-09-29,80 Days
15.0,112.0,165.0,40.0,62.5,12.05,5.0,4.5,7168.0,2001.0,5.0,224.1,1524.5,450.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,40960.0,40960.0,2021-01-01,83
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-05-06,8BitBoy
34.0,56.0,50.5,24.0,21.0,11.05,5.0,4.15,1024.0,1250.5,5.0,112.05,,450.0,4096.0,8192.0,1024.0,1024.0,Windows 7 64-bit,Windows 10 64-bit,10.0,11.0,8192.0,8192.0,2021-04-08,8Doors: Arums Afterlife Adventure
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,7168.0,7168.0,2020-10-16,9 Monkeys of Shaolin
47.5,44.0,33.0,8.0,9.0,10.5,4.5,3.55,1024.0,1050.0,4.0,67.2,,425.0,2048.0,4096.0,64.0,64.0,Windows XP 32-bit,Windows 7 64-bit,9.0,10.0,1536.0,2048.0,2014-02-19,99 Levels To Hell
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-05-31,99 Spirits
28.0,28.0,27.0,8.0,12.0,11.15,5.0,4.3,1024.0,1158.5,4.0,57.05,418.0,200.0,4096.0,4096.0,,,Windows 7 32-bit,Windows 7 64-bit,11.0,9.0,4096.0,6144.0,2017-03-24,"999: Nine Persons, Nine Hours, Nine Doors"
40.0,4.0,2.0,,1.0,9.5,3.0,2.05,128.0,400.0,2.5,25.6,,,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2007-05-09,9Dragons
27.5,12.0,8.0,8.0,5.0,10.5,4.5,3.5999999999999996,256.0,450.0,3.0,28.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-11-05,A Bird Story
28.0,152.0,170.5,64.0,72.5,12.0,5.0,4.4,6144.0,1626.5,5.0,304.2,608.0,550.0,8192.0,16384.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,3072.0,3072.0,2016-04-05,A Chair in a Room: Greenwater
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-15,A Dead Worlds Dream
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2010-10-25,A Fistful Of Cows
28.0,20.0,21.0,,8.0,11.1,5.0,4.25,2048.0,1076.0,4.0,34.45,525.0,375.0,2048.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,10240.0,10240.0,2015-09-24,A Fistful of Gun
72.5,30.0,16.5,12.0,7.0,10.0,4.0,2.6,320.0,800.0,3.0,44.8,,500.0,2048.0,4096.0,,,Windows Vista 64-bit,Windows 7 64-bit,10.0,10.0,3072.0,3072.0,2012-10-23,A Game Of Dwarves
41.5,44.0,36.0,8.0,10.0,10.6,4.5,3.65,1024.0,1125.0,4.0,72.0,525.0,425.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,7168.0,7168.0,2012-06-08,A Game Of Thrones
55.0,64.0,47.0,16.0,12.0,10.0,4.0,3.0,1024.0,1100.0,3.0,70.4,,450.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2012-11-08,A Game Of Thrones: Beyond The Wall
27.5,16.0,9.5,,2.5,9.55,3.55,2.25,384.0,450.0,2.5,22.4,,200.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,10240.0,10240.0,2011-09-28,A Game Of Thrones: Genesis
28.0,44.0,45.5,16.0,16.5,11.15,5.0,4.300000000000001,1024.0,1375.0,5.0,88.0,542.5,375.0,4096.0,4096.0,,,Windows 10 64-bit,Windows 10 64-bit,10.0,10.0,1024.0,1024.0,2020-10-06,A Game of Thrones: The Board Game - Digital Edition
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,5.2,9.0,,,2014-10-09,A Golden Wake
40.0,60.0,51.5,32.0,27.5,11.0,5.0,4.1,1024.0,1026.0,5.0,131.35000000000002,,500.0,1024.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,3072.0,3072.0,2017-10-05,A Hat In Time
15.0,112.0,159.5,40.0,61.5,12.05,5.0,4.5,7168.0,2001.0,5.0,224.1,1487.5,450.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,10.0,1024.0,1024.0,2020-08-31,A Horde Too Many
17.5,108.0,159.5,48.0,68.5,12.05,5.0,4.5,3584.0,1750.0,5.5,196.0,1545.0,225.0,4096.0,8192.0,2048.0,4096.0,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,3072.0,3072.0,2021-09-29,A Juggler's Tale
60.0,32.0,18.5,14.0,9.0,10.05,4.05,2.7,320.0,815.0,3.0,45.75,,425.0,2048.0,4096.0,,,Windows XP 64-bit,Windows 10 64-bit,10.0,10.0,1024.0,1024.0,2020-01-16,A Long Way Down
32.5,24.0,13.0,6.0,3.5,9.5,3.0,2.05,320.0,960.0,3.0,55.05,,225.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,3584.0,3584.0,2011-06-03,A New Beginning
28.0,40.0,42.5,16.0,17.0,11.6,5.0,4.4,1536.0,1500.0,5.0,96.0,542.5,400.0,6144.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,9.0,11.0,1024.0,1024.0,2017-10-05,A New World: Kingdoms
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,4096.0,1751.5,5.0,224.2,1222.0,475.0,8192.0,16384.0,2048.0,4096.0,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,51200.0,51200.0,2022-01-01,A Plague Tale 2
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,4096.0,1751.5,5.0,224.2,1222.0,475.0,8192.0,16384.0,2048.0,4096.0,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,51200.0,51200.0,2019-05-14,A Plague Tale: Innocence
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,4096.0,1751.5,5.0,224.2,1222.0,475.0,8192.0,16384.0,2048.0,4096.0,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,51200.0,51200.0,2022-01-01,A Plague Tale: Requiem
60.0,32.0,18.5,14.0,9.0,10.05,4.05,2.7,320.0,815.0,3.0,45.75,,450.0,2048.0,3072.0,,,Windows Vista 32-bit,Windows Vista 32-bit,10.0,9.0,,,2012-01-18,A Sirius Game
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-05-28,A Story About My Uncle
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-02-14,A Stroke of Madness
40.0,4.0,2.0,,1.0,9.5,3.5,2.05,256.0,600.0,2.0,6.4,,175.0,2048.0,4096.0,,,Windows XP 32-bit,Windows Vista 64-bit,9.0,9.0,1024.0,1024.0,2013-02-18,A Valley Without Wind 2
27.5,12.0,8.0,8.0,5.0,10.5,4.5,3.5999999999999996,256.0,450.0,3.0,28.8,,150.0,,1024.0,,,Windows XP 32-bit,Windows Vista 32-bit,9.0,10.0,,,2012-12-19,A Virus Named TOM: Winter Wonderland
,,,,,9.0,3.0,1.75,256.0,262.5,,4.2,,175.0,,1024.0,,,Windows XP 32-bit,Windows 7 32-bit,9.0,9.0,,,2012-08-01,A Virus Named Tom
28.0,112.0,113.5,48.0,49.5,11.65,5.0,4.4,3072.0,1501.5,5.0,216.1,589.0,575.0,8192.0,16384.0,2048.0,2048.0,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,25600.0,25600.0,2018-03-23,A Way Out
21.0,124.0,152.5,44.0,53.5,12.0,5.0,4.45,4096.0,1751.5,5.0,224.2,1222.0,475.0,8192.0,12288.0,,,Windows 8 64-bit,Windows 10 64-bit,11.0,11.0,14336.0,14336.0,2019-11-06,A Year Of Rain
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-03-01,A wild new world
20.0,16.0,9.0,,2.0,9.55,3.55,2.6,640.0,725.0,4.0,46.4,,150.0,1024.0,1024.0,128.0,128.0,Windows 7 32-bit,Windows 7 64-bit,9.0,9.0,,,2014-01-25,A-Men
20.0,4.0,2.5,,1.0,9.55,3.55,2.55,768.0,795.0,3.0,19.1,,325.0,1024.0,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,7168.0,7168.0,2011-09-23,A.I. War: Alien Bundle
20.0,4.0,2.5,,1.0,9.55,3.55,2.55,768.0,795.0,3.0,19.1,,325.0,1024.0,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2012-10-19,A.I. War: Ancient Shadows
