process_nm,tmus,texture_rate,rops,pixel_rate,direct_x,shader,open_gl,memory_mb,memory_speed_mhz,memory_type,memory_bandwidth_gbs,boost_clock_mhz,psu_w,min_ram_mb,recom_ram_mb,min_vram_mb,recom_vram_mb,min_os,recom_os,min_direct_x,recom_direct_x,min_hdd_mb,recom_hdd_mb,release_date,name,hard_filter_count,soft_filter_count,norm_texture_rate,norm_pixel_rate,norm_memory_bandwidth_gbs,norm_tmus,norm_rops,norm_memory_speed_mhz,norm_boost_clock_mhz,perf_feature_count,perf_score
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2013-03-09,6180 the moon,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
34.0,16.0,11.0,,5.0,11.05,5.0,3.75,768.0,950.0,4.0,39.2,,350.0,4096.0,6144.0,512.0,,Windows XP 32-bit,Windows 7 64-bit,10.0,10.0,3072.0,3072.0,2013-12-13,7 Days To Die,2,4,0.0166270783847981,0.02,0.05695364238410596,0.048513302034428794,,0.4519155590304926,,5,0.052924542765927146
60.0,12.0,7.0,,3.5,10.5,4.5,3.0999999999999996,384.0,750.0,4.0,24.0,,325.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,8192.0,8192.0,2012-02-20,7554,2,4,0.010292953285827395,0.013333333333333334,0.034584253127299486,0.03599374021909233,,0.3476674485274954,,5,0.035871507605480545
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2007-02-22,8 Kingdoms,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
55.0,40.0,29.5,16.0,12.0,10.05,4.05,3.15,768.0,1113.0,3.5,71.25,,450.0,4096.0,6144.0,,,Windows Vista 32-bit,Windows 7 64-bit,11.0,11.0,2048.0,2048.0,2016-08-12,8-Bit Hordes,2,5,0.04592240696753761,0.051111111111111114,0.10412067696835908,0.12363067292644757,0.09433962264150944,0.5368777690904353,,6,0.10734837045269897
55.0,40.0,29.5,16.0,12.0,10.05,4.05,3.15,768.0,1113.0,3.5,71.25,,450.0,4096.0,6144.0,,,Windows Vista 64-bit,Windows 7 64-bit,11.0,11.0,2048.0,2048.0,2016-04-22,8-bit Armies,2,5,0.04592240696753761,0.051111111111111114,0.10412067696835908,0.12363067292644757,0.09433962264150944,0.5368777690904353,,6,0.10734837045269897
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-09-29,80 Days,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
28.0,48.0,53.5,16.0,17.5,11.6,5.0,4.4,2048.0,1487.5,5.0,95.2,1117.5,400.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,40960.0,40960.0,2021-01-01,83,2,5,0.08392715756136183,0.07555555555555556,0.1393671817512877,0.1486697965571205,0.09433962264150944,0.7320823560072973,0.4442857142857143,7,0.16957142043943196
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-05-06,8BitBoy,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
34.0,56.0,50.5,24.0,21.0,11.05,5.0,4.15,1024.0,1250.5,5.0,112.05,,450.0,4096.0,8192.0,1024.0,1024.0,Windows 7 64-bit,Windows 10 64-bit,10.0,11.0,8192.0,8192.0,2021-04-08,8Doors: Arums Afterlife Adventure,2,5,0.0791765637371338,0.09111111111111111,0.16416482707873437,0.17370892018779344,0.16981132075471697,0.6085483450612458,,6,0.16643908720793327
40.0,18.0,13.0,,4.0,11.0,5.0,3.7,1024.0,900.0,3.0,28.8,,350.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,11.0,7168.0,7168.0,2020-10-16,9 Monkeys of Shaolin,2,4,0.01979414093428345,0.015555555555555555,0.041648270787343636,0.054773082942097026,,0.4258535314047433,,5,0.0495643391011068
27.5,28.0,14.0,8.0,4.0,10.05,4.1,3.2,128.0,255.0,2.5,8.15,,150.0,2048.0,4096.0,64.0,64.0,Windows XP 32-bit,Windows 7 64-bit,9.0,10.0,1536.0,2048.0,2014-02-19,99 Levels To Hell,2,5,0.021377672209026127,0.015555555555555555,0.011258278145695366,0.08607198748043818,0.018867924528301886,0.08965337503257753,,6,0.028581065803815513
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2013-05-31,99 Spirits,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
28.0,28.0,27.0,8.0,12.0,11.15,5.0,4.3,512.0,1158.5,4.0,57.05,418.0,200.0,4096.0,4096.0,,,Windows 7 32-bit,Windows 7 64-bit,11.0,9.0,4096.0,6144.0,2017-03-24,"999: Nine Persons, Nine Hours, Nine Doors",2,5,0.04196357878068092,0.051111111111111114,0.08322295805739514,0.08607198748043818,0.018867924528301886,0.5605942142298671,0.044571428571428574,7,0.06872768743516916
72.5,6.0,3.0,,2.0,10.0,4.0,2.6,128.0,600.0,2.0,3.2,,150.0,,1024.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2007-05-09,9Dragons,2,4,0.00395882818685669,0.006666666666666667,0.003973509933774834,0.017214397496087636,,0.2694813656502476,,5,0.013721893770768469
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,,,2014-11-05,A Bird Story,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
28.0,132.0,137.5,60.0,63.5,11.6,5.0,4.35,4096.0,1501.5,5.0,272.2,589.0,625.0,8192.0,16384.0,,,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,3072.0,3072.0,2016-04-05,A Chair in a Room: Greenwater,2,5,0.21694378463974665,0.28,0.39985283296541574,0.41158059467918623,0.5094339622641509,0.7393797237425072,0.1422857142857143,7,0.3409659458998561
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,,,,2015-01-15,A Dead Worlds Dream,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
20.0,4.0,2.5,,1.0,9.5,3.0,2.55,320.0,550.0,1.0,6.8,,150.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2010-10-25,A Fistful Of Cows,2,4,0.003167062549485352,0.0022222222222222222,0.009271523178807946,0.010954616588419406,,0.2434193380244983,,5,0.011171448682033243
41.5,16.0,6.5,8.0,3.0,10.6,4.55,3.75,768.0,450.0,3.0,7.2,,150.0,2048.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,10240.0,10240.0,2015-09-24,A Fistful of Gun,2,5,0.009501187648456057,0.011111111111111112,0.00986019131714496,0.048513302034428794,0.018867924528301886,0.19129528277299973,,6,0.023811403385836753
40.0,4.0,2.0,,1.0,10.0,4.0,2.6,256.0,200.0,2.0,3.2,,150.0,2048.0,4096.0,,,Windows Vista 64-bit,Windows 7 64-bit,10.0,10.0,3072.0,3072.0,2012-10-23,A Game Of Dwarves,2,4,0.0023752969121140144,0.0022222222222222222,0.003973509933774834,0.010954616588419406,,0.06098514464425332,,5,0.006749944263116756
32.5,4.0,3.0,,1.5,9.5,3.5,2.55,384.0,750.0,3.0,36.8,,400.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,7168.0,7168.0,2012-06-08,A Game Of Thrones,2,4,0.00395882818685669,0.0044444444444444444,0.05342163355408388,0.010954616588419406,,0.3476674485274954,,5,0.020453729229518
32.5,4.0,3.0,,1.5,9.5,3.5,2.55,384.0,750.0,3.0,36.8,,400.0,2048.0,4096.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,1024.0,1024.0,2012-11-08,A Game Of Thrones: Beyond The Wall,2,4,0.00395882818685669,0.0044444444444444444,0.05342163355408388,0.010954616588419406,,0.3476674485274954,,5,0.020453729229518
,,,,,9.0,3.0,1.75,384.0,337.5,1.0,8.600000000000001,,175.0,1024.0,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,9.0,9.0,10240.0,10240.0,2011-09-28,A Game Of Thrones: Genesis,2,1,,,0.011920529801324506,,,0.13265572061506387,,2,0.03976589582680173
28.0,44.0,45.5,16.0,16.5,11.15,5.0,4.300000000000001,1024.0,1375.0,5.0,88.0,542.5,375.0,4096.0,4096.0,,,Windows 10 64-bit,Windows 10 64-bit,10.0,10.0,1024.0,1024.0,2020-10-06,A Game of Thrones: The Board Game - Digital Edition,2,5,0.07125890736342043,0.07111111111111111,0.1287711552612215,0.13615023474178403,0.09433962264150944,0.6734427938493615,0.11571428571428571,7,0.13074585188179166
,,,,,9.0,2.0,1.75,64.0,100.0,1.0,1.6,,,,2048.0,,,Windows XP 32-bit,Windows XP 32-bit,5.2,9.0,,,2014-10-09,A Golden Wake,2,1,,,0.0016188373804267846,,,0.008861089392754757,,2,0.00378743484964358
40.0,38.0,26.0,16.0,13.5,11.0,5.0,3.65,1024.0,925.0,5.0,86.4,,425.0,1024.0,4096.0,,,Windows XP 32-bit,Windows 7 64-bit,9.0,9.0,3072.0,3072.0,2017-10-05,A Hat In Time,2,5,0.040380047505938245,0.057777777777777775,0.12641648270787345,0.11737089201877934,0.09433962264150944,0.43888454521761794,,6,0.10618325437105655
21.0,60.0,71.0,24.0,28.5,12.05,2.5,2.25,3072.0,1751.5,5.0,56.1,1189.0,375.0,4096.0,8192.0,,,Windows 7 64-bit,Windows 10 64-bit,11.0,10.0,1024.0,1024.0,2020-08-31,A Horde Too Many,2,5,0.11163895486935867,0.12444444444444444,0.08182487122884474,0.18622848200312989,0.16981132075471697,0.8696898618712536,0.48514285714285715,7,0.20490874122750602
28.0,80.0,81.5,28.0,28.5,11.1,5.0,4.25,2048.0,1351.0,5.0,148.89999999999998,516.5,475.0,4096.0,8192.0,2048.0,4096.0,Windows 7 64-bit,Windows 7 64-bit,11.0,11.0,3072.0,3072.0,2021-09-29,A Juggler's Tale,2,5,0.12826603325415678,0.12444444444444444,0.21839587932303162,0.24882629107981222,0.20754716981132076,0.6609330205890018,0.10085714285714285,7,0.19816631337786958
