split,game_name,label_0,label_1,label_2,label_3
train,Azur Lane Crosswave,155,27,131,5
train,Azure Striker Gunvolt 2,441,67,406,21
train,BDSM: Big Drunk Satanic Massacre,154,28,135,9
train,BERSERK and the Band of the Hawk,153,29,130,9
train,BIT.TRIP Presents Runner2: Future Legend of Rhythm Alien,484,64,489,19
train,BLAZE - mechforces,345,54,296,27
train,BOMB,345,54,296,27
train,BPM: Bullets Per Minute,107,20,84,8
train,Baba Is You,309,51,257,27
train,Baby Fights,345,54,296,27
train,Back 4 Blood,120,22,100,4
train,Back To The Future: Part 1,375,58,331,30
train,Back To The Future: Part 5,375,58,331,30
train,Back to Bed,269,45,231,15
train,Back to Life 2,345,54,296,27
train,Back to Life 3,345,54,296,27
train,Backstage Press,345,54,296,27
train,Bad Bots,345,54,296,27
train,Bad North: Jotunn Edition,209,33,177,12
train,Balan Wonderworld,124,23,102,4
train,Baldr Sky,302,51,252,25
train,Baldurs Gate 3,123,23,102,4
train,Ball 3D: Soccer Online,236,39,203,13
train,Balrum,359,61,309,15
train,Bang Bang Racing,303,51,255,25
train,Banished,361,61,310,27
train,Banners of Ruin,188,33,155,13
train,Barbarian,443,67,413,18
train,Barbarian Brawl,345,54,296,27
train,Barony,345,54,296,27
train,Barotrauma,319,53,272,22
train,Bastide,136,25,117,7
train,Bastion,340,56,294,22
train,Bastion: The Strangers Dream,340,56,294,22
train,Batman 2025,80,16,62,5
train,Batman Arkham City: Harley Quinns Revenge,230,41,200,11
train,Batman Arkham Knight - Season of Infamy Most Wanted,147,29,125,9
train,Batman Arkham Origins: Blackgate,189,32,160,10
train,Batman: A Telltale Game Series - Episode 1: Realm of Shadows,126,23,109,7
train,Batman: A Telltale Game Series - Episode 3: New World Order,126,23,109,7
train,Batman: A Telltale Game Series - Episode 5: City of Light,126,23,109,7
train,Batman: Arkham Asylum,296,49,253,20
train,Batman: Arkham City,230,41,200,11
train,Batman: Arkham Knight - Batgirl: A Matter of Family,101,19,85,7
train,Batman: Arkham Knight - Catwoman's Revenge,147,29,125,9
train,Batman: Arkham Knight - Crime Fighter Challenge Pack 1,147,29,125,9
train,Batman: Arkham Knight - Crime Fighter Challenge Pack 2,147,29,125,9
train,Batman: Arkham Knight - Crime Fighter Challenge Pack 3,147,29,125,9
train,Batman: Arkham Knight - Crime Fighter Challenge Pack 4,147,29,125,9
train,Batman: Arkham Knight - Crime Fighter Challenge Pack 5,147,29,125,9
train,Batman: Arkham Knight - GCPD Lockdown,147,29,125,9
train,Batman: Arkham Knight - Harley Quinn Story Pack,147,29,125,9
train,Batman: Arkham Knight - Red Hood Story Pack,147,29,125,9
train,Batman: Arkham Legacy,88,16,68,7
train,Batman: Arkham Origins,189,32,160,10
train,Batman: Arkham Origins - Cold Cold Heart,189,32,160,10
train,Batman: Arkham Origins - Initiation,199,35,164,14
train,Batman: The Enemy Within - A Telltale Game Series,126,23,109,7
train,Battalion 1944,117,22,99,10
train,Battle Ball,232,40,202,10
train,Battle Battalions,223,37,191,10
train,Battle Cry of Freedom,88,17,69,4
train,Battle Cubes,345,54,296,27
train,Battle For Crown: Multiplayer,338,56,292,20
train,Battle Islands: Commanders,264,44,234,11
train,Battle Nations,345,54,296,27
train,Battle Pong,345,54,296,27
train,Battle Royale Tycoon,207,35,175,12
train,Battle Sheep!,528,45,613,24
train,Battle Worlds: Kronos,316,54,267,21
train,Battle for Graxia,345,54,296,27
train,Battle for Wesnoth,380,62,332,30
train,Battle of the Immortals,435,66,408,14
train,BattleBeasts,128,25,103,7
train,BattleBlock Theater,274,44,240,11
train,BattleTech,155,27,130,10
train,BattleTech: Heavy Metal,155,27,130,10
train,BattleTech: Urban Warfare,155,27,130,10
train,Battleborn,196,29,167,14
train,Battlefield 1,125,22,105,4
train,Battlefield 1 - In the Name of the Tsar,116,23,99,10
